stop_words
mmm
gotta
beyoncé
beyonc?
hey
em
huh
eh
te
ohoh
yeah
oh
ya
yo
tu
lo
je
yuh
woo
mi
de
da
eheh
ayy
uhhuh
ariana
grande
ah
nicki
imma
y'all
c'mon
minaj
whoa
nananana
rihanna
eminem
cardi
niggas
pre
Pre
na
ella
la
yonc?
jhen?
taylor
